"id","program_id","batch_year","batch_code","batch_name","start_date","end_date","current_semester","total_students","max_capacity","class_teacher_id","fee_structure","admission_criteria","status","created_by","created_at","updated_at"
"1","1","2024","CSE2024","B.Tech CSE Batch 2024","2024-08-01","2028-05-31","2","45","60","1","{""tuition"":125000,""hostel"":80000,""other"":15000}","JEE Main Rank","active","1","2026-03-18 16:13:07","2026-03-18 16:13:07"
"2","2","2024","ECE2024","B.Tech ECE Batch 2024","2024-08-01","2028-05-31","2","38","60","2","{""tuition"":120000,""hostel"":80000,""other"":15000}","JEE Main Rank","active","1","2026-03-18 16:13:07","2026-03-18 16:13:07"
"4","2","2025","CSE2025","B.Tech CSE Batch 2025","2025-08-01","2029-05-31","1","52","60","1","{""tuition"":130000,""hostel"":85000,""other"":15000}","JEE Main Rank","completed","1","2026-03-18 16:13:07","2026-04-05 21:21:51"
"id","name","code","description","duration_years","total_credits","department_id","degree_type","program_level","accreditation_status","start_date","end_date","total_semesters","max_students","current_students","program_fee","status","created_by","created_at","updated_at"
"1","B.Tech Computer Science & Engineering","BTCSE","Bachelor of Technology in CSEE","4","160","1","diploma","bachelor","accredited","2024-08-01","2028-05-31","8","60","45","2500000.00","active","1","2026-03-18 16:13:07","2026-03-18 17:49:17"
"2","B.Tech Electronics & Communication","BTECE","Bachelor of Technology in ECE","4","160","2","undergraduate","bachelor","accredited","2024-08-01","2028-05-31","8","60","38","240000.00","active","1","2026-03-18 16:13:07","2026-03-18 16:13:07"
"id","student_id","subject_id","batch_id","session_id","attendance_date","status","remarks","marked_by","created_at"
"1","1","1","1","1","2025-02-03","present",NULL,"1","2026-03-18 16:13:07"
"2","1","1","1","1","2025-02-05","present",NULL,"1","2026-03-18 16:13:07"
"3","1","1","1","1","2025-02-07","late",NULL,"1","2026-03-18 16:13:07"
"4","1","4","1","1","2025-02-04","present",NULL,"1","2026-03-18 16:13:07"
"5","1","4","1","1","2025-02-06","absent",NULL,"1","2026-03-18 16:13:07"
"6","1","4","1","1","2025-02-08","present",NULL,"1","2026-03-18 16:13:07"
"7","1","10","1","1","2025-02-09","present",NULL,"1","2026-03-18 16:13:07"
"8","1","10","1","1","2025-02-10","half_day",NULL,"1","2026-03-18 16:13:07"
"9","1","10","1","1","2025-02-12","present",NULL,"1","2026-03-18 16:13:07"
"10","1","1","1","1","2025-02-14","present",NULL,"1","2026-03-18 16:13:07"
"11","2","1","1","1","2025-02-03","present",NULL,"1","2026-03-18 16:13:07"
"12","2","1","1","1","2025-02-05","present",NULL,"1","2026-03-18 16:13:07"
"13","2","1","1","1","2025-02-07","present",NULL,"1","2026-03-18 16:13:07"
"14","2","4","1","1","2025-02-04","present",NULL,"1","2026-03-18 16:13:07"
"15","2","4","1","1","2025-02-06","present",NULL,"1","2026-03-18 16:13:07"
"16","2","4","1","1","2025-02-08","late",NULL,"1","2026-03-18 16:13:07"
"17","2","10","1","1","2025-02-09","present",NULL,"1","2026-03-18 16:13:07"
"18","2","10","1","1","2025-02-10","present",NULL,"1","2026-03-18 16:13:07"
"19","2","10","1","1","2025-02-12","absent",NULL,"1","2026-03-18 16:13:07"
